CNFW01002104.1	ERS027644SCcontig002104
HK1c1024	JPDT01001021.1
CNFW01000068.1	ERS027644SCcontig000068
JMSP01000692.1	contig691
JMSO01000291.1	LJDX02000110.1
LFQK01000009.1	LGCK01000011.1
CNFW01003311.1	ERS027644SCcontig003311
CNFW01000112.1	ERS027644SCcontig000112
LIUQ01000001.1	LKIU01000003.1
CNFW01003349.1	ERS027644SCcontig003349
F6602contig4395.1	LGKH01003775.1
CNFW01003180.1	ERS027644SCcontig003180
AAP38_Contigs_59	LJHR01000059.1
LJQL01000415.1	PgyICMP2189_Contig_390
LFQK01000024.1	LHQM01000021.1
HK1c1524	JPDT01001521.1
ADDO01000066.1	LITJ01000038.1
F6602contig4113.1	LGKH01003463.1
CNFW01001107.1	ERS027644SCcontig001107
JQIP01000077.1	Sequence0000011099
LJRN01000213.1	PtoICMP2844_Contig_246
LGUV01000199.1	P046contig27.1
CBZV010000032.1	contig_32
CNFW01000256.1	ERS027644SCcontig000256
AABF01000277.1	Contig0031
HK1c1216	JPDT01001213.1
JMSP01000106.1	LJCS01000055.1
AQQZ01000037.1	JZAM01000037.1
HK1c0993	JPDT01000990.1
F6602contig283.1	LGKH01002035.1
LGDE01000420.1	P404contig474.1
JMSO01000277.1	LJET02000065.1
JZAM01000359.1	contig359
CP000926.1	CP001173.1
JYJF01000392.1	contig-392
LFYT02000119.1	LimC-II-D5-C119
B11479contig659.1	LFVR01000628.1
LIUQ01000126.1	contig_153
HK1c1085	JPDT01001082.1
F6602contig2165.1	LGKH01001297.1
LGDE01000470.1	P404contig90.1
GL629669.1	GL636956.1
F6602contig2846.1	LGKH01002053.1
CNFW01003213.1	ERS027644SCcontig003213
JH376449.1	supercont1.30
Contig_7_UM411_modified_	LFKM01000017.1
F6602contig4699.1	LGKH01004112.1
BHUMctg149	LFMX01000134.1
F6602contig77.1	LGKH01005103.1
AJQY01000201.1	Contig_201
B11479contig179.1	LFVR01000089.1
LJCS01000227.1	LJET02000143.1
JMSP01000002.1	JZAM01000138.1
HK1c1790	JPDT01001787.1
JYNY01000645.1	SAG1985
CNFW01002745.1	ERS027644SCcontig002745
BHUMctg214	LFMX01000198.1
F6602contig1872.1	LGKH01000971.1
F6602contig601.1	LGKH01004917.1
F6602contig1892.1	LGKH01000993.1
LJQB01000030.1	PcoICMP19117_Contig_59
F6602contig4695.1	LGKH01004108.1
CXDQ01000190.1	ERS009857SCcontig000190
CP000487.1	CP011968.1
LITJ01000081.1	LKKT01000071.1
AMSH01000120.1	JZAM01000120.1
B11479contig454.1	LFVR01000400.1
F6602contig677.1	LGKH01005000.1
LGDW01000270.1	P435contig33.1
F6602contig1105.1	LGKH01000120.1
JMSP01000524.1	contig435
JMSO01000363.1	JMSP01000354.1
LGUP01000258.1	P002contig318.1
LGEA01000004.1	P439contig101.1
LFYT02000078.1	LimC-II-D5-C78
F6602contig1077.1	LGKH01000088.1
HK1c1051	JPDT01001048.1
F6602contig1689.1	LGKH01000767.1
LJPW01000171.1	PcaICMP2855_Contig_141
LJPT01000106.1	PatICMP4303_Contig_28
ADDO01000049.1	contig00069
JZAM01000168.1	LJDX02000077.1
F6602contig2117.1	LGKH01001244.1
F6602contig2442.1	LGKH01001605.1
AJQY01000192.1	Contig_192
LJRN01000119.1	PtoICMP2844_Contig_181
CNFW01000192.1	ERS027644SCcontig000192
CNFW01003470.1	ERS027644SCcontig003470
B11479contig789.1	LFVR01000772.1
CP002017.1	CP002345.1
LIUQ01000095.1	contig_102
AMSH01000126.1	JMSP01000406.1
F6602contig1337.1	LGKH01000377.1
CNFW01001267.1	ERS027644SCcontig001267
LKKT01000073.1	contig00083
INSLA289_contig_24	LHAT01000024.1
JJQL01000024.1	scaffold95_1_size2942-refined
LGEA01000018.1	P439contig113.1
CNFW01002645.1	ERS027644SCcontig002645
LHAT01000079	LHAT01000079.1
LJRN01000012.1	PtoICMP2844_Contig_85
ADGX01000063.1	ctg00218
B11479contig924.1	LFVR01000923.1
JMSO01000173.1	JMSP01000323.1
HK1c2314	JPDT01002311.1
JYNY01000590.1	SAG1905
B11479contig228.1	LFVR01000145.1
AQQZ01000015.1	LJET02000057.1
LFYT02000018.1	LimC-II-D5-C18
LGDW01000338.1	P435contig391.1
CXDQ01000205.1	ERS009857SCcontig000205
F6602contig4703.1	LGKH01004118.1
BBRT01000107.1	NODE_213
BBRT01000183.1	NODE_35
B11479contig551.1	LFVR01000509.1
JMSO01000268.1	JZAM01000136.1
CP000769.1	CP002770.1
F6602contig2187.1	LGKH01001321.1
Contig189	LKBH01000100.1
CQZO01000128.1	ERS020178SCcontig000128
LJDX02000130.1	LJET02000130.1
LGUW01000367.1	P092contig85.1
F6602contig2361.1	LGKH01001515.1
LJDX02000094.1	contig183
HK1c0511	JPDT01000510.1
HK1c1091	JPDT01001088.1
JZAM01000073.1	LJET02000235.1
JZAM01000303.1	LJDX02000228.1
HK1c0371	JPDT01000370.1
LDVT01000118.1	contig1301
JMSO01000283.1	JZAM01000179.1
HK1c2506	JPDT01002503.1
CXDQ01000125.1	ERS009857SCcontig000125
F6602contig3719.1	LGKH01003024.1
JH376434.1	supercont1.15
LGUW01000219.1	P092contig295.1
ADGX01000159.1	ctg00211
JQIR01000088.1	Sequence0000006555
GG668537.1	GL636938.1
JMSO01000311.1	LJDX02000151.1
B11479contig779.1	LFVR01000761.1
HK1c1349	JPDT01001346.1
JMSP01000364.1	contig077
ACFB01000029.1	gcontig_1113107088650
AGIK01000007.1	ctg45
HK1c1114	JPDT01001111.1
CXDQ01000528.1	ERS009857SCcontig000528
HK1c1200	JPDT01001197.1
ITZX_scaf_179	LJZR01000031.1
F6602contig5042.1	LGKH01004495.1
JYJF01000761.1	contig-761
CP001964.1	FN563149.1
JYJF01000158.1	contig-157
BHUMctg43	LFMX01000043.1
LGDF01000169.1	P406contig8.1
CNFW01003076.1	ERS027644SCcontig003076
CSXB01000017.1	ERS075544SCcontig000017
LGUP01000241.1	P002contig302.1
CNFW01001840.1	ERS027644SCcontig001840
HK1c2561	JPDT01002558.1
CXDQ01000175.1	ERS009857SCcontig000175
F6602contig4868.1	LGKH01004300.1
JYNY01000637.1	SAG1973
CNFW01000139.1	ERS027644SCcontig000139
JYJF01000745.1	contig-745
JMSO01000005.1	LJET02000015.1
JPRF03000062.1	LHQM01000054.1
JMSO01000254.1	contig081
JPRF03000097.1	LHQM01000009.1
BHUMctg253	LFMX01000227.1
CNFW01000104.1	ERS027644SCcontig000104
CNFW01003729.1	ERS027644SCcontig003729
JYJF01000163.1	contig-162
LJDX02000128.1	contig213
LJCS01000051.1	contig051
GL629660.1	SCAFFOLD14
B11479contig182.1	LFVR01000093.1
B11479contig451.1	LFVR01000397.1
JYNY01000465.1	SAG1727
CP002663.1	CP010525.1
JMSP01000543.1	contig473
JYNY01000225.1	SAG1341
F6602contig4567.1	LGKH01003966.1
LGUV01000227.1	P046contig294.1
CP001056.1	CP001819.1
LGUV01000055.1	P046contig144.1
Contig_56_UM147	LFLE01000044.1
JPRF03000030.1	LHQM01000025.1
F6602contig2701.1	LGKH01001893.1
CNFW01003170.1	ERS027644SCcontig003170
JYJF01001062.1	contig-1062
BBRO01000001.1	LIGE01000025.1
LFYT02000080.1	LimC-II-D5-C80
LGDW01000275.1	P435contig334.1
CP000487.1	CP000611.1
AMSH01000012.1	LJET02000024.1
CNFW01000662.1	ERS027644SCcontig000662
CP001129.1	CP001189.1
AMSH01000132.1	JMSO01000169.1
AJQY01000287.1	Contig_287
AMSH01000066.1	JZAM01000066.1
LJRN01000288.1	PtoICMP2844_Contig_49
JZAM01000283.1	contig283
HK1c1462	JPDT01001459.1
AMSH01000087.1	contig87
F6602contig4723.1	LGKH01004140.1
F6602contig2573.1	LGKH01001750.1
JMSP01000180.1	contig273
AEJC01000406.1	gcontig_1108499729105
LJRN01000192.1	PtoICMP2844_Contig_266
JYNY01000039.1	SAG11050
CP002345.1	CP012040.1
LITU01000061.1	contig_493
GG739938.1	GG749028.1
CNFW01001681.1	ERS027644SCcontig001681
GG749018.1	KQ236745.1
CSXB01000068.1	ERS075544SCcontig000068
LGDE01000121.1	P404contig206.1
GG704583.1	KQ236754.1
CP001431.1	CP001737.1
F6602contig1282.1	LGKH01000316.1
ABDA02000012.1	gcontig_1113129653860
HK1c1887	JPDT01001884.1
AMSH01000013.1	JXCG01000013.1
F6602contig2530.1	LGKH01001703.1
HK1c2233	JPDT01002230.1
JZAM01000258.1	contig258
JYNY01000051.1	SAG11071
CNFW01000614.1	ERS027644SCcontig000614
CNFW01002884.1	ERS027644SCcontig002884
LGUV01000106.1	P046contig188.1
F6602contig1633.1	LGKH01000706.1
HK1c0232	JPDT01000231.1
F6602contig2385.1	LGKH01001541.1
JYJF01000478.1	contig-478
F6602contig3143.1	LGKH01002385.1
F6602contig3508.1	LGKH01002790.1
AMSH01000107.1	LJCS01000107.1
LJDX02000009.1	LJET02000009.1
LGTK01000077.1	LITJ01000077.1
LDNZ01000228.1	NODE_51_contig25
CXDQ01000378.1	ERS009857SCcontig000378
JYJF01000137.1	contig-136
LJDX02000163.1	LJET02000163.1
INSLA289_contig_191	LHAT01000191.1
JZAM01000223.1	contig223
LJRP01000003.1	PttICMP459_Contig_56
LFQK01000093.1	contig_95
CNFW01002154.1	ERS027644SCcontig002154
CNFW01003966.1	ERS027644SCcontig003966
CP000611.1	CP000769.1
AAI_A_2195_scaffold94	HE972615.1
LGUV01000385.1	P046contig83.1
CM001167.1	CP002345.1
JYJF01000959.1	contig-959
AJHJ01000067.1	JMSO01000178.1
LGUV01000135.1	P046contig211.1
CNFW01000713.1	ERS027644SCcontig000713
LFQK01000030.1	contig_30
JZAM01000032.1	contig32
HK1c3025	JPDT01003018.1
LDNZ01000277.1	NODE_50_length_726
AJQY01000351.1	Contig_351
AM167904.1	CP001612.1
LGUW01000133.1	P092contig218.1
JZAM01000072.1	LJDX02000277.1
CNFW01000474.1	ERS027644SCcontig000474
HK1c1187	JPDT01001184.1
CNFW01000642.1	ERS027644SCcontig000642
LJDX02000108.1	contig196
F6602contig1538.1	LGKH01000600.1
JXCG01000010.1	LDJX01000010.1
CP001173.1	CP011300.1
INSLA289_contig_81	LHAT01000081.1
LGDF01000048.1	P406contig140.1
JZAM01000284.1	LJDX02000206.1
HK1c2088	JPDT01002085.1
JYJF01000608.1	contig-608
JMSO01000089.1	JMSP01000393.1
CNFW01000912.1	ERS027644SCcontig000912
LJDX02000117.1	LJET02000117.1
CYFX01000036.1	ERS150873SCcontig000036
JH724274.1	KQ236749.1
LJQL01000157.1	PgyICMP2189_Contig_363
HK1c1607	JPDT01001604.1
JMSO01000340.1	JZAM01000296.1
HK1c1977	JPDT01001974.1
HK1c3034	JPDT01003027.1
JJQL01000098.1	scaffold55_1_size31395-refined
AP009240.1	CP001173.1
LGDE01000068.1	P404contig16.1
JMSO01000100.1	LJCS01000068.1
JMSP01000512.1	JZAM01000406.1
LHQM01000019.1	LIUQ01000061.1
CNFW01003569.1	ERS027644SCcontig003569
F6602contig3806.1	LGKH01003121.1
HK1c2812	JPDT01002806.1
JYJF01000286.1	contig-286
CP002404.1	pRUMAL01
AEJC01000295.1	gcontig_1108499708027
GG704813.1	SCAFFOLD4
AJQY01000411.1	Contig_411
LJPW01000007.1	PcaICMP2855_Contig_78
GL636972.1	SCAFFOLD39
LJPT01000130.1	PatICMP4303_Contig_27
CNFW01003957.1	ERS027644SCcontig003957
F6602contig378.1a	LGKH01003091.1
LITU01000010.1	contig_30
LDUI01000079	LDUI01000079.1
GL629659.1	GL636946.1
B11479contig433.1	LFVR01000377.1
LGDE01000292.1	P404contig359.1
CNFW01001697.1	ERS027644SCcontig001697
HK1c2322	JPDT01002319.1
HK1c2012	JPDT01002009.1
LJPT01000040.1	PatICMP4303_Contig_81
JYNY01000549.1	SAG1849
AQQZ01000033.1	JXCG01000033.1
LJRN01000040.1	PtoICMP2844_Contig_136
F6602contig247.1	LGKH01001635.1
HK1c1430	JPDT01001427.1
JZAM01000040.1	LJDX02000242.1
F6602contig144.1	LGKH01000491.1
CNFW01000745.1	ERS027644SCcontig000745
CYAV01000051.1	ERS085366SCcontig000051
F6602contig1997.1	LGKH01001109.1
JYJF01000581.1	contig-581
JZAM01000054.1	contig54
AP009240.1	CP002345.1
CNFW01003866.1	ERS027644SCcontig003866
CNFW01000752.1	ERS027644SCcontig000752
LJCS01000015.1	contig015
F6602contig4949.1	LGKH01004390.1
LDUI01000090	LDUI01000090.1
CP001056.1	FP929003.1
JYNY01000472.1	SAG1738
0026	CXWD01000026.1
CYFX01000131.1	ERS150873SCcontig000131
CNFW01001779.1	ERS027644SCcontig001779
F6602contig387.1	LGKH01003191.1
CNFW01002181.1	ERS027644SCcontig002181
HK1c1941	JPDT01001938.1
JMSO01000172.1	LJET02000177.1
AAP93_Contigs_101	LJHZ01000101.1
JZAM01000125.1	LJET02000030.1
LGTK01000110.1	contig00110
AM167904.1	CP000926.1
